customer_id,order_id
5269990965398,3866376110230
5269990965398,3866376110230
5269897248918,3866282557590
5269855830166,3866241302678
5269855830166,3866241302678
3660644286614,3866237960342
3660644286614,3866237960342
3660644286614,3866237960342
3660644286614,3866237960342
5269709717654,3866079166614
5269709717654,3866079166614
5269709717654,3866079166614
5269676195990,3866061930646
5209009914006,3864770216086
5209009914006,3864770216086
4168505327766,3864754061462
4168505327766,3864754061462
5268384186518,3864666538134
5268384186518,3864666538134
5268384186518,3864666538134
5268384186518,3864666538134
5232937795734,3864636031126
5268330479766,3864612962454
5268330479766,3864612962454
5267898073238,3864168398998
5238623043734,3864052400278
5238623043734,3864052400278
5238623043734,3864052400278
5267672989846,3863937056918
5267672989846,3863937056918
5267672989846,3863937056918
5243666727062,3863853269142
5243666727062,3863853269142
5267515441302,3863786913942
5267515441302,3863786913942
5267515441302,3863786913942
4660439187606,3863768334486
5267459571862,3863718068374
4682991861910,3863711219862
5267411828886,3863678124182
5035450335382,3863510024342
5257514254486,3863484891286
5267128090774,3863405494422
5267128090774,3863405494422
5232052273302,3862637871254
5266184110230,3862262907030
5265960337558,3861880406166
5265795711126,3861651030166
5264679403670,3861648343190
5264679403670,3861648343190
5264679403670,3861648343190
5264679403670,3861648343190
5265681842326,3861534245014
3633172807830,3861521825942
3633172807830,3861521825942
4457077571734,3861415821462
4457077571734,3861415821462
5265439752342,3861313683606
5265439752342,3861313683606
5265439752342,3861313683606
5265439752342,3861313683606
5265439752342,3861313683606
4632178327702,3861264171158
4632178327702,3861264171158
4632178327702,3861264171158
5265347018902,3861221376150
5265347018902,3861221376150
5265231610006,3861107966102
5265191108758,3861068120214
5265191108758,3861068120214
5265191108758,3861068120214
5265191108758,3861068120214
5265191108758,3861068120214
5265191108758,3861068120214
5265194352790,3861067333782
4295111573654,3861064482966
5264991551638,3860871250070
5232520659094,3860854898838
5232520659094,3860854898838
5264890757270,3860773929110
5264853958806,3860735164566
5264831250582,3860733788310
5264831250582,3860733788310
5264831250582,3860733788310
5241129173142,3860682965142
5241129173142,3860682965142
5264751296662,3860627685526
3907613589654,3860553367702
5264617275542,3860482818198
5264617275542,3860482818198
5264617275542,3860482818198
5263496839318,3860323795094
5263496839318,3860323795094
5263194095766,3860245512342
5263742369942,3859788464278
5263742369942,3859788464278
5263742369942,3859788464278
5224879784086,3859505807510
5224879784086,3859505807510
5224879784086,3859505807510
5224879784086,3859505807510
5224879784086,3859505807510
5224879784086,3859505807510
5224879784086,3859505807510
5224879784086,3859505807510
